Date & time,Contact name,Contact phone,Marketing campaign,Number name,Number phone,Source type,Direction,Call status,Disposition,First time,Keyword,Referrer,Campaign,Duration,Device type,Qualified lead,Landing page,From,To
2026-07-22 13:43:00,Lead 23,+1305555102323,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555102323
2026-07-22 13:44:00,Lead 24,+1305555102424,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555102424
2026-07-22 13:45:00,Lead 25,+1305555102525,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555102525
2026-07-22 13:46:00,Lead 26,+1305555102626,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555102626
2026-07-22 13:47:00,Lead 27,+1305555102727,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555102727
2026-07-22 13:48:00,Lead 28,+1305555102828,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:03,,,,+13058675309,+1305555102828
2026-07-22 13:49:00,Lead 29,+1305555102929,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555102929
2026-07-22 13:50:00,Lead 30,+1305555103030,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103030
2026-07-22 13:51:00,Lead 31,+1305555103131,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103131
2026-07-22 13:52:00,Lead 32,+1305555103232,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103232
2026-07-22 13:53:00,Lead 33,+1305555103333,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103333
2026-07-22 13:54:00,Lead 34,+1305555103434,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103434
2026-07-22 13:55:00,Lead 35,+1305555103535,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:03,,,,+13058675309,+1305555103535
2026-07-22 13:56:00,Lead 36,+1305555103636,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103636
2026-07-22 13:57:00,Lead 37,+1305555103737,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103737
2026-07-22 13:58:00,Lead 38,+1305555103838,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103838
2026-07-22 13:59:00,Lead 39,+1305555103939,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555103939
2026-07-22 13:20:00,Lead 40,+1305555104040,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555104040
2026-07-22 13:21:00,Lead 41,+1305555104141,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555104141
2026-07-22 13:22:00,Lead 0,+1305555100000,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:03,,,,+13058675309,+1305555100000
2026-07-22 13:23:00,Lead 1,+1305555100101,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555100101
2026-07-22 13:24:00,Lead 2,+1305555100202,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555100202
2026-07-22 13:25:00,Lead 3,+1305555100303,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555100303
2026-07-22 13:26:00,Lead 4,+1305555100404,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555100404
2026-07-22 13:27:00,Lead 5,+1305555100505,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555100505
2026-07-22 13:28:00,Lead 6,+1305555100606,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555100606
2026-07-22 13:29:00,Lead 7,+1305555100707,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:03,,,,+13058675309,+1305555100707
2026-07-22 13:30:00,Lead 8,+1305555100808,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555100808
2026-07-22 13:31:00,Lead 9,+1305555100909,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555100909
2026-07-22 13:32:00,Lead 10,+1305555101010,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555101010
2026-07-22 13:33:00,Lead 11,+1305555101111,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555101111
2026-07-22 13:34:00,Lead 12,+1305555101212,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555101212
2026-07-22 13:35:00,Lead 13,+1305555101313,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:03,,,,+13058675309,+1305555101313
2026-07-22 13:36:00,Lead 14,+1305555101414,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:03,,,,+13058675309,+1305555101414
2026-07-22 13:37:00,Lead 15,+1305555101515,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555101515
2026-07-22 13:38:00,Lead 16,+1305555101616,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555101616
2026-07-22 13:39:00,Lead 17,+1305555101717,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555101717
2026-07-22 13:40:00,Lead 18,+1305555101818,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555101818
2026-07-22 13:41:00,Lead 19,+1305555101919,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555101919
2026-07-22 13:42:00,Lead 20,+1305555102020,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555102020
2026-07-22 13:43:00,Lead 21,+1305555102121,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:10,,,,+13058675309,+1305555102121
2026-07-22 13:44:00,Lead 22,+1305555102222,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555102222
2026-07-22 13:45:00,Lead 23,+1305555102323,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555102323
2026-07-22 13:46:00,Lead 24,+1305555102424,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555102424
2026-07-22 13:47:00,Lead 25,+1305555102525,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555102525
2026-07-22 13:48:00,Lead 26,+1305555102626,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555102626
2026-07-22 13:49:00,Lead 27,+1305555102727,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555102727
2026-07-22 13:50:00,Lead 28,+1305555102828,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:10,,,,+13058675309,+1305555102828
2026-07-22 13:51:00,Lead 29,+1305555102929,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555102929
2026-07-22 13:52:00,Lead 30,+1305555103030,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555103030
2026-07-22 13:53:00,Lead 31,+1305555103131,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555103131
2026-07-22 13:54:00,Lead 32,+1305555103232,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555103232
2026-07-23 13:55:00,Lead 33,+1305555103333,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555103333
2026-07-23 13:56:00,Lead 34,+1305555103434,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:10,,,,+13058675309,+1305555103434
2026-07-23 13:57:00,Lead 35,+1305555103535,,Rich Investor Capital,,,Outbound,Answered,Voicemail,Yes,,,,00:10,,,,+13058675309,+1305555103535
2026-07-24 13:58:00,Lead 36,+1305555103636,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103636
2026-07-24 13:59:00,Lead 37,+1305555103737,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103737
2026-07-26 13:20:00,Lead 38,+1305555103838,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103838
2026-07-26 13:21:00,Lead 39,+1305555103939,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103939
2026-07-26 13:22:00,Lead 40,+1305555104040,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555104040
2026-07-27 13:23:00,Lead 41,+1305555104141,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555104141
2026-07-27 13:24:00,Lead 0,+1305555100000,,Rich Investor Capital,,,Outbound,Answered,,Yes,,,,00:10,,,,+13058675309,+1305555100000
2026-07-27 13:25:00,Lead 1,+1305555100101,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100101
2026-07-27 13:26:00,Lead 2,+1305555100202,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100202
2026-07-27 13:27:00,Lead 3,+1305555100303,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100303
2026-07-27 13:28:00,Lead 4,+1305555100404,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100404
2026-07-27 13:29:00,Lead 5,+1305555100505,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100505
2026-07-28 13:30:00,Lead 6,+1305555100606,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100606
2026-07-28 13:31:00,Lead 7,+1305555100707,,Rich Investor Capital,,,Outbound,Answered,,Yes,,,,00:10,,,,+13058675309,+1305555100707
2026-07-28 13:32:00,Lead 8,+1305555100808,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100808
2026-07-28 13:33:00,Lead 9,+1305555100909,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100909
2026-07-28 13:34:00,Lead 10,+1305555101010,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101010
2026-07-28 13:35:00,Lead 11,+1305555101111,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101111
2026-07-28 13:36:00,Lead 12,+1305555101212,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101212
2026-07-28 13:37:00,Lead 13,+1305555101313,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101313
2026-07-28 13:38:00,Lead 14,+1305555101414,,Rich Investor Capital,,,Outbound,Answered,,Yes,,,,00:10,,,,+13058675309,+1305555101414
2026-07-28 13:39:00,Lead 15,+1305555101515,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101515
2026-07-28 13:40:00,Lead 16,+1305555101616,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101616
2026-07-28 13:41:00,Lead 17,+1305555101717,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101717
2026-07-28 13:42:00,Lead 18,+1305555101818,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101818
2026-07-28 13:43:00,Lead 19,+1305555101919,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555101919
2026-07-28 13:44:00,Lead 20,+1305555102020,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555102020
2026-07-28 13:45:00,Lead 21,+1305555102121,,Rich Investor Capital,,,Outbound,Answered,,Yes,,,,00:10,,,,+13058675309,+1305555102121
2026-07-28 13:46:00,Lead 22,+1305555102222,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555102222
2026-07-28 13:47:00,Lead 23,+1305555102323,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555102323
2026-07-28 13:48:00,Lead 24,+1305555102424,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555102424
2026-07-28 13:49:00,Lead 25,+1305555102525,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555102525
2026-07-28 13:50:00,Lead 26,+1305555102626,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555102626
2026-07-28 13:51:00,Lead 27,+1305555102727,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555102727
2026-07-28 13:52:00,Lead 28,+1305555102828,,Rich Investor Capital,,,Outbound,Answered,,Yes,,,,00:10,,,,+13058675309,+1305555102828
2026-07-28 13:53:00,Lead 29,+1305555102929,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555102929
2026-07-28 13:54:00,Lead 30,+1305555103030,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103030
2026-07-28 13:55:00,Lead 31,+1305555103131,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103131
2026-07-28 13:56:00,Lead 32,+1305555103232,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103232
2026-07-28 13:57:00,Lead 33,+1305555103333,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103333
2026-07-28 13:58:00,Lead 34,+1305555103434,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103434
2026-07-28 13:59:00,Lead 35,+1305555103535,,Rich Investor Capital,,,Outbound,Answered,,Yes,,,,00:10,,,,+13058675309,+1305555103535
2026-07-28 13:20:00,Lead 36,+1305555103636,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103636
2026-07-28 13:21:00,Lead 37,+1305555103737,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103737
2026-07-28 13:22:00,Lead 38,+1305555103838,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103838
2026-07-28 13:23:00,Lead 39,+1305555103939,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555103939
2026-07-28 13:24:00,Lead 40,+1305555104040,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555104040
2026-07-28 13:25:00,Lead 41,+1305555104141,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555104141
2026-07-28 13:26:00,Lead 0,+1305555100000,,Rich Investor Capital,,,Outbound,Answered,,Yes,,,,00:10,,,,+13058675309,+1305555100000
2026-07-28 13:27:00,Lead 1,+1305555100101,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100101
2026-07-28 13:28:00,Lead 2,+1305555100202,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100202
2026-07-28 13:29:00,Lead 3,+1305555100303,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100303
2026-07-28 13:30:00,Lead 4,+1305555100404,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:10,,,,+13058675309,+1305555100404
2026-07-28 13:31:00,Lead 5,+1305555100505,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:22,,,,+13058675309,+1305555100505
2026-07-28 13:32:00,Lead 6,+1305555100606,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:22,,,,+13058675309,+1305555100606
2026-07-28 13:33:00,Lead 7,+1305555100707,,Rich Investor Capital,,,Outbound,Answered,,Yes,,,,00:22,,,,+13058675309,+1305555100707
2026-07-28 13:34:00,Lead 8,+1305555100808,,Rich Investor Capital,,,Outbound,Answered,,No,,,,00:22,,,,+13058675309,+1305555100808
2026-07-28 13:35:00,Lead 9,+1305555100909,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:22,,,,+13058675309,+1305555100909
2026-07-28 13:36:00,Lead 10,+1305555101010,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:22,,,,+13058675309,+1305555101010
2026-07-28 13:37:00,Lead 11,+1305555101111,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:22,,,,+13058675309,+1305555101111
2026-07-28 13:38:00,Lead 12,+1305555101212,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:22,,,,+13058675309,+1305555101212
2026-07-28 13:39:00,Lead 13,+1305555101313,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:22,,,,+13058675309,+1305555101313
2026-07-28 13:40:00,Lead 14,+1305555101414,,Rich Investor Capital,,,Outbound,No answer,,Yes,,,,00:22,,,,+13058675309,+1305555101414
2026-07-28 13:41:00,Lead 15,+1305555101515,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:22,,,,+13058675309,+1305555101515
2026-07-28 13:42:00,Lead 16,+1305555101616,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:22,,,,+13058675309,+1305555101616
2026-07-28 13:43:00,Lead 17,+1305555101717,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:22,,,,+13058675309,+1305555101717
2026-07-28 13:44:00,Lead 18,+1305555101818,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:45,,,,+13058675309,+1305555101818
2026-07-28 13:45:00,Lead 19,+1305555101919,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:45,,,,+13058675309,+1305555101919
2026-07-28 13:46:00,Lead 20,+1305555102020,,Rich Investor Capital,,,Outbound,No answer,,No,,,,00:45,,,,+13058675309,+1305555102020
2026-07-28 13:47:00,Lead 21,+1305555102121,,Rich Investor Capital,,,Outbound,No answer,,Yes,,,,00:45,,,,+13058675309,+1305555102121
2026-07-28 13:48:00,Lead 22,+1305555102222,,Rich Investor Capital,,,Outbound,Failed,,No,,,,00:45,,,,+13058675309,+1305555102222
2026-07-28 13:49:00,Lead 23,+1305555102323,,Rich Investor Capital,,,Outbound,Failed,,No,,,,00:45,,,,+13058675309,+1305555102323
2026-07-28 13:50:00,Lead 24,+1305555102424,,Rich Investor Capital,,,Outbound,Failed,,No,,,,00:45,,,,+13058675309,+1305555102424
2026-07-28 13:51:00,Lead 25,+1305555102525,,Rich Investor Capital,,,Outbound,Failed,,No,,,,00:45,,,,+13058675309,+1305555102525
2026-07-28 13:52:00,Lead 26,+1305555102626,,Rich Investor Capital,,,Outbound,Failed,,No,,,,00:45,,,,+13058675309,+1305555102626
2026-07-28 13:53:00,Lead 27,+1305555102727,,Rich Investor Capital,,,Outbound,Failed,,No,,,,00:45,,,,+13058675309,+1305555102727
2026-07-28 13:54:00,Lead 28,+1305555102828,,Rich Investor Capital,,,Outbound,Failed,,Yes,,,,00:45,,,,+13058675309,+1305555102828
2026-07-28 13:55:00,Lead 29,+1305555102929,,Rich Investor Capital,,,Outbound,Failed,,No,,,,00:45,,,,+13058675309,+1305555102929
2026-07-28 13:56:00,Lead 30,+1305555103030,,Rich Investor Capital,,,Outbound,Failed,Not Interested,No,,,,01:30,,,,+13058675309,+1305555103030
2026-07-28 13:57:00,Lead 31,+1305555103131,,Rich Investor Capital,,,Outbound,Busy,,No,,,,03:00,,,,+13058675309,+1305555103131
2026-07-28 13:58:00,Lead 32,+1305555103232,,Rich Investor Capital,,,Outbound,Busy,,No,,,,03:00,,,,+13058675309,+1305555103232
2026-07-28 13:59:00,Lead 33,+1305555103333,,Rich Investor Capital,,,Outbound,Busy,,No,,,,03:00,,,,+13058675309,+1305555103333
2026-07-28 13:20:00,Lead 34,+1305555103434,,Rich Investor Capital,,,Outbound,Busy,,No,,,,03:00,,,,+13058675309,+1305555103434
2026-07-28 13:21:00,Lead 35,+1305555103535,,Rich Investor Capital,,,Outbound,Busy,,Yes,,,,03:00,,,,+13058675309,+1305555103535
2026-07-22 10:00:00,Inbound Caller 0,+17862970110,,Rich Investor Capital,,,Inbound,Busy,,Yes,,,,06:10,,,,+17862970110,+13058675309
2026-07-28 10:01:00,Inbound Caller 1,+17862970111,,Rich Investor Capital,,,Inbound,Voicemail,,Yes,,,,00:00,,,,+17862970111,+13058675309
